Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name
Queens,80,"POLYGON ((-73.81541389765073 40.74737074495193, -73.81541009509041 40.74874311612577, -73.81721463653965 40.74874599393325, -73.81721840192655 40.747373622700685, -73.81541389765073 40.74737074495193))",0.0355,0,2024-06-08 22:30:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OAK AVENUE
Bronx,69,"POLYGON ((-73.84214963396792 40.858153875054015, -73.84214637675906 40.859526222761566, -73.84395392515691 40.85952868162896, -73.84395714506833 40.858156333871264, -73.84214963396792 40.858153875054015))",0.122636364,0,2025-04-21 11:15:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,EASTCHESTER ROAD
Manhattan,223,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",0.294327273,0,2025-06-21 12:30:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,COLUMBUS AVENUE
Manhattan,72,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",-1.557481818,0,2025-06-22 06:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,COLUMBUS AVENUE
Manhattan,115,"POLYGON ((-73.98885407294881 40.771882248225054, -73.9888538432528 40.773254617502765, -73.99065905282708 40.77325477798656, -73.99065924532198 40.77188240870558, -73.98885407294881 40.771882248225054))",0.523081633,0,2024-10-16 15:30:00,Department of Transportation,Street Condition,Pothole,,WEST END AVENUE
Manhattan,141,"POLYGON ((-73.99552426194508 40.72457471408772, -73.99552416977424 40.7259470926687, -73.99732809787078 40.72594714866016, -73.99732815289329 40.72457477007803, -73.99552426194508 40.72457471408772))",-0.572044304,0,2025-03-17 07:00:00,Department of Sanitation,Dumpster Complaint,Blocking Sidewalk or Street,Sidewalk,LAFAYETTE STREET
Queens,60,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",-0.238058824,0,2025-03-27 09:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,40 ROAD
Manhattan,13,"POLYGON ((-73.91054710153593 40.87066408637457, -73.91054525534635 40.87203643253038, -73.91235314578083 40.87203781981599, -73.91235495465874 40.87066547363189, -73.91054710153593 40.87066408637457))",0.6745,0,2025-01-11 18:30:00,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,WEST  219 STREET
Brooklyn,758,"POLYGON ((-73.99797327580453 40.69365892477378, -73.99797323408666 40.69503130892571, -73.99977632571067 40.69503132655451, -73.99977633031466 40.693658942402216, -73.99797327580453 40.69365892477378))",0.019271429,0,2025-05-06 15:30:00,Department of Transportation,Street Light Condition,Street Light Out,,
Brooklyn,104,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.6745,0,2024-11-11 16:30:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,FLATBUSH AVENUE
