,Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name,tweets
0,Queens,80,"POLYGON ((-73.81541389765073 40.74737074495193, -73.81541009509041 40.74874311612577, -73.81721463653965 40.74874599393325, -73.81721840192655 40.747373622700685, -73.81541389765073 40.74737074495193))",0.0355,0,2024-06-08 22:30:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OAK AVENUE,"['Just had to navigate around a car taking up the whole sidewalk on Oak Avenue. Very frustrating.', ""Never understand why people park on sidewalks like it's their living room."", 'The sidewalk on Oak Avenue is basically impassable due to some thoughtless parking.', ""Driving to work would be a breeze if people didn't block the entire sidewalk."", 'Walking down Oak Avenue is now a challenge due to some car parked in the middle.', ""That car on Oak Avenue needs to move - people can't walk around it."", 'The lack of consideration from some drivers is ridiculous - Oak Avenue is proof.', ""Disappointed but not surprised to see a car still parked where it shouldn't be on Oak.""]"
1,Bronx,69,"POLYGON ((-73.84214963396792 40.858153875054015, -73.84214637675906 40.859526222761566, -73.84395392515691 40.85952868162896, -73.84395714506833 40.858156333871264, -73.84214963396792 40.858153875054015))",0.122636364,0,2025-04-21 11:15:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,EASTCHESTER ROAD,"[""My driveway on Eastchester Road is blocked, can't get full access to my home."", ""Parked car on Eastchester Road is causing issues, can't fully get into my driveway."", 'Stuck with partial access to my Eastchester Road driveway, thanks to another driver.', 'Having trouble with my Eastchester Road driveway being blocked, anyone know who parks here?']"
2,Manhattan,223,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",0.294327273,0,2025-06-21 12:30:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,COLUMBUS AVENUE,"[""I just saw someone blocking the bike lane on Columbus Avenue, seriously can't they park somewhere else?"", 'Fed up with cars taking up the bike lane on Columbus Avenue. Come on people, share the road.', ""Traffic's getting bad on Columbus Avenue and it's all because of cars parked in the bike lane."", 'Rant of the day: why do people think the bike lane is a parking spot on Columbus Avenue?', 'Currently stuck behind a car parked in the bike lane on Columbus Avenue. This is so frustrating.', 'How many times do we need to talk about this? Cars blocking the bike lane on Columbus Avenue need to stop.']"
3,Manhattan,72,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",-1.557481818,0,2025-06-22 06:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,COLUMBUS AVENUE,"['Just got a parking ticket on Columbus Avenue for a sign that I swear was hidden.', 'Ugh, just got a fine for parking on Columbus Ave even though I thought it was allowed.', 'Congrats to the city for raking in extra cash on Columbus Ave with all these ticket fines.', ""Why can't they just enforce the parking rules clearly on Columbus Ave?"", 'Just got slammed with a $50 fine for parking on Columbus Ave. Ridiculous.', 'Driving on Columbus Ave is already a nightmare, now I have to worry about parking tickets too.', 'Why do they put the no parking signs on Columbus Ave at night when everyone comes back to their cars?', ""Columbus Ave parking is a joke. They're always fining people for something."", 'I just saw a huge truck parked on Columbus Ave with a ""posted"" sign that was basically invisible to me.', ""I'm starting to think the city just puts up no parking""]"
4,Manhattan,115,"POLYGON ((-73.98885407294881 40.771882248225054, -73.9888538432528 40.773254617502765, -73.99065905282708 40.77325477798656, -73.99065924532198 40.77188240870558, -73.98885407294881 40.771882248225054))",0.523081633,0,2024-10-16 15:30:00,Department of Transportation,Street Condition,Pothole,,WEST END AVENUE,"['WEST END AVENUE needs some fixing, a huge pothole just swallowed my tire.', 'Driving on WEST END AVENUE is like a game of avoid the pothole.', 'West end avenue is a disaster waiting to happen, needs serious repair.', 'WEST END AVENUE is basically a war zone, potholes everywhere.', ""Just hit a pothole on WEST END AVENUE, now I've got a flat."", ""Why can't they fix the potholes on WEST END AVENUE already."", 'Driving on WEST END AVENUE is like a bumpy rollercoaster.', 'Potholes on WEST END AVENUE are getting out of hand.', 'Just had to dodge a massive pothole on WEST END AVENUE.', 'WEST END AVENUE is in desperate need of some roadwork.']"
5,Manhattan,141,"POLYGON ((-73.99552426194508 40.72457471408772, -73.99552416977424 40.7259470926687, -73.99732809787078 40.72594714866016, -73.99732815289329 40.72457477007803, -73.99552426194508 40.72457471408772))",-0.572044304,0,2025-03-17 07:00:00,Department of Sanitation,Dumpster Complaint,Blocking Sidewalk or Street,Sidewalk,LAFAYETTE STREET,"['Ugh, Lafayette Street dumpster is completely blocking the sidewalk. Such a hassle when walking to work.', 'Walking down Lafayette Street is basically impossible thanks to this overflowing dumpster taking up half the street.', ""Lafayette Street dumpster is taking up so much space, the congestion level is insane and it's not just me who thinks so.""]"
6,Queens,60,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",-0.238058824,0,2025-03-27 09:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,40 ROAD,"[""My driveway is blocked and I've got no access to my house."", 'Getting a bit frustrated with this situation on 40 Road.', ""Blocked driveway at 40 Road means I'm stuck in my own home."", 'No access to my driveway today thanks to some reckless parking.', 'Someone please move their car from the end of my driveway I need to get out.', ""Guest forgot to move their car and now I'm blocked in.""]"
7,Manhattan,13,"POLYGON ((-73.91054710153593 40.87066408637457, -73.91054525534635 40.87203643253038, -73.91235314578083 40.87203781981599, -73.91235495465874 40.87066547363189, -73.91054710153593 40.87066408637457))",0.6745,0,2025-01-11 18:30:00,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,WEST  219 STREET,"['Just had to navigate through a nightmare on 219 Street - drivers with paper plates parked like they own the place.', ""What's the point of having a license plate if it's just gonna be a worthless piece of paper?"", 'Ran into a sea of people trying to park on 219 Street, all with those suspicious paper plates.', 'Just got into a huge jam on 219 Street because some genius chose to park with a paper plate - seriously?']"
8,Brooklyn,758,"POLYGON ((-73.99797327580453 40.69365892477378, -73.99797323408666 40.69503130892571, -73.99977632571067 40.69503132655451, -73.99977633031466 40.693658942402216, -73.99797327580453 40.69365892477378))",0.019271429,0,2025-05-06 15:30:00,Department of Transportation,Street Light Condition,Street Light Out,,,"['My street is pitch black at night because our street light is out again.', ""Slow drivers in the middle of the night because they can't see the road, thanks to the broken street light."", 'Just another night of stumbling through the dark because someone forgot to fix the street light.', 'Really appreciate the added safety hazard of a non-functioning street light at midnight.']"
9,Brooklyn,104,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.6745,0,2024-11-11 16:30:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,FLATBUSH AVENUE,"['Just got out of the office by Flatbush Avenue and the construction is still going strong but some exits are blocked with no alternate routes.', ""Trying to navigate through Flatbush Avenue and the new construction is causing chaos, doors are locked and it's hard to find a way out."", 'Alarm raised on the new Flatbush Avenue construction project - no secondary exits and some doors are blocked, anyone else noticing this issue?', ""Running late due to construction on Flatbush Avenue, exits are being regularly closed off and it's not easy to find a secondary route."", 'Seriously frustrated trying to get through Flatbush Avenue while the construction goes on, exits are being blocked left and right.']"
