Time,Temperature,Condition,Wind,Humidity,Pressure,Visibility,day,month
,8 °C,Fog.,7 km/h,93%,999 mbar,8 km,1,1
,8 °C,Fog.,7 km/h,89%,999 mbar,8 km,1,1
,7 °C,Fog.,No wind,93%,998 mbar,10 km,1,1
,7 °C,Fog.,6 km/h,93%,998 mbar,8 km,1,1
,8 °C,Fog.,7 km/h,89%,999 mbar,10 km,1,1
,7 °C,Fog.,No wind,90%,998 mbar,8 km,1,1
,9 °C,Fog.,9 km/h,86%,999 mbar,10 km,1,1
,9 °C,Fog.,9 km/h,86%,999 mbar,10 km,1,1
,8 °C,Mostly cloudy.,17 km/h,86%,998 mbar,11 km,1,1
,8 °C,Mostly cloudy.,9 km/h,86%,999 mbar,11 km,1,1
,8 °C,Passing clouds.,13 km/h,83%,998 mbar,14 km,1,1
,8 °C,Passing clouds.,13 km/h,83%,999 mbar,14 km,1,1
,8 °C,Mostly cloudy.,9 km/h,83%,998 mbar,14 km,1,1
,9 °C,Broken clouds.,9 km/h,80%,999 mbar,16 km,1,1
,9 °C,Passing clouds.,7 km/h,80%,1000 mbar,16 km,1,1
,10 °C,Broken clouds.,7 km/h,74%,1001 mbar,16 km,1,1
,10 °C,More clouds than sun.,7 km/h,74%,1000 mbar,16 km,1,1
,10 °C,Mostly cloudy.,13 km/h,66%,1000 mbar,16 km,1,1
,10 °C,More clouds than sun.,9 km/h,66%,1000 mbar,16 km,1,1
,9 °C,Mostly cloudy.,6 km/h,66%,1000 mbar,16 km,1,1
,9 °C,Overcast.,15 km/h,64%,1000 mbar,16 km,1,1
,8 °C,Light rain. Overcast.,19 km/h,61%,1000 mbar,16 km,1,1
,8 °C,Mostly cloudy.,22 km/h,63%,1002 mbar,16 km,1,1
,8 °C,Mostly cloudy.,20 km/h,61%,1002 mbar,16 km,1,1
,7 °C,Cloudy.,17 km/h,60%,1003 mbar,16 km,1,1
,7 °C,Mostly cloudy.,20 km/h,63%,1004 mbar,16 km,1,1
,6 °C,Mostly cloudy.,22 km/h,56%,1004 mbar,16 km,1,1
,6 °C,Passing clouds.,19 km/h,56%,1005 mbar,16 km,1,1
,6 °C,Overcast.,22 km/h,51%,1006 mbar,16 km,1,1
,6 °C,Passing clouds.,15 km/h,43%,1006 mbar,16 km,1,1
,5 °C,Passing clouds.,22 km/h,43%,1007 mbar,16 km,1,1
,5 °C,Passing clouds.,26 km/h,47%,1007 mbar,16 km,1,1
,4 °C,Passing clouds.,11 km/h,53%,1008 mbar,16 km,1,1
,4 °C,Clear.,17 km/h,53%,1008 mbar,16 km,2,1
,3 °C,Passing clouds.,7 km/h,58%,1009 mbar,16 km,2,1
,4 °C,Clear.,7 km/h,57%,1009 mbar,16 km,2,1
,4 °C,Overcast.,13 km/h,57%,1010 mbar,16 km,2,1
